P1 (Pa),T1 (C),MF1 (kg/s),P2 (Pa),T2 (C),MF2 (kg/s),MF leak (kg/s),stroke_level,caso,status_leak,Pos (m),Dia (m),x_L,t (s)
568097.3,-41.76985,37.83052,352683.3,-41.81919,37.83052,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1620.442
568098.2,-41.76985,37.83918,353449.8,-41.818979999999996,37.70243,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1620.9447318
568783.2,-41.76967,37.832370000000004,353587.3,-41.81895,37.67011,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1621.674772
569367.3,-41.76951,37.80707,353654.8,-41.81893,37.67344,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1622.095696
569933.5,-41.76936,37.76957,353706.8,-41.81892,37.69019,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1622.64243
570173.8,-41.7693,37.736509999999996,353722.9,-41.818909999999995,37.71073,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1623.18894
570111.9,-41.76931,37.708909999999996,353705.4,-41.81892,37.72667,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1623.735171
569855.4,-41.76938,37.6857,353661.7,-41.81893,37.7316,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1624.2811880000002
569532.8,-41.76947,37.66633,353606.0,-41.81894000000001,37.72271,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1624.827148
569250.3,-41.76954,37.65063,353554.2,-41.81896,37.701159999999994,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1625.373108
569070.1,-41.76959,37.637879999999996,353518.6,-41.81897,37.67116,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1625.919067
569009.7,-41.76961,37.62661,353505.1,-41.81897,37.63824,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1626.465027
569051.8,-41.7696,37.61517,353512.1,-41.81897,37.60751,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1627.010987
569159.5,-41.76957,37.60232,353533.1,-41.81896,37.58238,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1627.5569460000002
569287.6,-41.769529999999996,37.58766,353558.8,-41.81896,37.56394,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1628.102906
569397.9,-41.7695,37.57152,353581.0,-41.81895,37.55124,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1628.648866
569467.3,-41.76948,37.554629999999996,353594.7,-41.81895,37.54213,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1629.194825
569489.7,-41.76948,37.53778,353598.8,-41.81895,37.5342,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1629.740785
569472.4,-41.76948,37.52162,353594.9,-41.81895,37.525459999999995,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1630.2867449999999
569430.6,-41.76949000000001,37.50651,353586.2,-41.81895,37.51471,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1630.8327
569382.3,-41.76951,37.492509999999996,353576.2,-41.81895,37.5017,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1631.3786599999999
569342.4,-41.76952,37.47943,353568.1,-41.81895,37.48688,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1631.92462
569319.7,-41.76952,37.46697,353563.5,-41.81896,37.47115,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1632.4705800000002
569316.0,-41.76952,37.454809999999995,353562.8,-41.81896,37.455459999999995,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1633.01654
569328.0,-41.76952,37.44271,353565.1,-41.81895,37.44057,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1633.5625
569348.7,-41.76952,37.43054,353569.1,-41.81895,37.42689,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1634.10846
569370.8,-41.76951,37.418279999999996,353573.4,-41.81895,37.41447,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1634.6544199999998
569388.4,-41.76951,37.406009999999995,353576.7,-41.81895,37.403059999999996,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1635.20038
569398.6,-41.7695,37.39386,353578.5,-41.81895,37.39227,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1635.7463400000001
569401.1,-41.7695,37.38195,353578.8,-41.81895,37.38174,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1636.2923
569397.9,-41.7695,37.37034,353578.0,-41.81895,37.37117,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1636.83826
569391.7,-41.76951,37.35909,353576.6,-41.81895,37.360409999999995,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1637.38422
569385.4,-41.76951,37.34818,353575.2,-41.81895,37.34948,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1637.93018
